sentID,SentenceContext,sentenceClosure,compLower,popularity,nComp,percent,above70,comp.det,comp.noun,Lg10WF,natNess,RT,Diff
1,Voor veel Nederlanders is een koekje bij,heilig.,de koffie,28,52,53.84615385,0,de,koffie,3.7657,4.692307692,6.075269231,5.673076923
2,Jasper wilde gelijk piloot worden na het lezen van,over vliegtuigen.,een boek,20,51,39.21568627,0,een,boek,3.8196,4.470588235,7.154823529,5.450980392
3,Om de brownie te maken smelt Max als eerste,voor hij de eieren toevoegt.,de chocolade,21,52,40.38461538,0,de,chocolade,2.786,4.423076923,7.014846154,5.557692308
4,Veel Nederlanders gaan bij mooi weer naar hun werk op,maar pakken de auto als het regent.,de fiets,48,50,96,1,de,fiets,2.9786,4.38,13.5676,5.8
5,De piraat gebruikte een geheime kaart bij zijn zoektocht naar,op het eiland.,de schat,50,52,96.15384615,1,de,schat,4.0625,4.730769231,6.871192308,5.846153846
6,In de zomer neem ik om af te koelen graag een duik bij de buren in,in hun achtertuin.,het zwembad,52,52,100,1,het,zwembad,3.006,4.326923077,7.045538462,5.673076923
7,"De fluitketel op het fornuis floot, dus rende mijn moeder snel naar de keuken om het hete water voor",in te schenken.,de thee,48,50,96,1,de,thee,3.4103,4.44,9.95086,5.58
8,Vergeet bij het bereiden van de kip niet het voorverwarmen van,zodat je niet hoeft te wachten.,de oven,50,52,96.15384615,1,de,oven,2.6375,4.519230769,16.10557692,5.826923077
9,Met Kerst kijk ik vaak naar de kerstboom met daaronder,in mooie verpakkingen.,de cadeautjes,37,52,71.15384615,1,de,cadeautjes,2.5132,4.288461538,80.46255769,5.634615385
10,Andr_ is de nieuwe coach van,op zijn volleybalclub.,het team,39,52,75,1,het,team,3.6989,3.730769231,8.709596154,4.403846154
11,"Voor haar verjaardag stuurde ik haar een echte papieren kaart, die ik verzond met",naar haar huis.,de post,43,52,82.69230769,1,de,post,3.2092,3.75,15.48623077,5.269230769
12,"Omdat het regende, ging Hans toch maar met","naar zijn werk, want hij wilde niet nat worden.",de auto,41,52,78.84615385,1,de,auto,4.3017,4.730769231,4.774596154,5.711538462
13,"Ik voelde me al een paar dagen niet zo lekker, dus mijn moeder stuurde me naar",voor de zekerheid.,de dokter,39,52,75,1,de,dokter,4.0283,4.307692308,7.54125,5.730769231
15,In de supermarkt vindt u de eieren aan het einde van,aan de rechterkant.,het gangpad,25,52,48.07692308,0,het,gangpad,1.9395,4.384615385,11.5835,5.288461538
16,Henk begint zijn dag altijd met het lezen van,terwijl hij zijn ontbijt eet.,de krant,47,52,90.38461538,1,de,krant,3.4059,4.788461538,12.57055769,5.769230769
17,Op dates is David een echte heer en schuift hij netjes,van zijn date aan.,de stoel,52,52,100,1,de,stoel,3.3502,4.634615385,7.677192308,5.730769231
18,De meiden besloten om vandaag te gaan winkelen in,waar zij eens per maand kwamen.,de stad,27,52,51.92307692,0,de,stad,4.0763,4.115384615,7.167826923,5.288461538
19,"Het was een beetje frisjes in de huiskamer, dus Annie sloot",snel.,het raam,33,52,63.46153846,0,het,raam,3.4912,4.365384615,5.493538462,5.442307692
20,"In de keuken staan nog allemaal vieze borden, maar ik doe",morgen wel.,de afwas,49,52,94.23076923,1,de,afwas,2.2253,4.865384615,4.892807692,5.942307692
21,Tijdens het autorijden moet je je wel goed concentreren op,voor de veiligheid.,de weg,39,52,75,1,de,weg,4.8115,4.269230769,9.312826923,5.461538462
22,De wiskundedocent schreef de moeilijke sommen op,voor zijn leerlingen.,het bord,49,52,94.23076923,1,het,bord,3.0774,4.596153846,4.552711538,5.846153846
23,"Nadat de docent de vraag had gesteld, wachtte hij op",van de studenten.,het antwoord,40,52,76.92307692,1,het,antwoord,3.7873,4.769230769,35.35521154,5.730769231
24,Met zulk mooi weer gaan we altijd met een parasol naar,bij ons in de buurt.,het strand,37,51,72.54901961,1,het,strand,3.2448,4.549019608,5.835745098,5.509803922
25,Op zondagochtend zoek ik altijd met mijn hond een grote tak in,om er daarna mee te spelen.,het bos,45,52,86.53846154,1,het,bos,3.3086,4.673076923,9.344923077,5.75
26,Tijdens het kamp waren de jongens hout aan het verzamelen voor,in het bos.,het kampvuur,38,52,73.07692308,1,het,kampvuur,2.0569,4.307692308,9.687365385,5.653846154
27,Op de basisschool speelde ik in de pauze altijd buiten op,met mijn klasgenoten.,het schoolplein,39,52,75,1,het,schoolplein,1.5911,4.75,5.55875,5.653846154
28,Al om half acht 's ochtends stond mijn moeder voor de hele familie eieren te bakken voor,op zondag.,het ontbijt,48,51,94.11764706,1,het,ontbijt,3.2925,4.294117647,206.4873922,5.235294118
29,Mijn gelezen boeken staan op de onderste plank in,op mijn kamer.,de kast,45,51,88.23529412,1,de,kast,3.1189,4.490196078,54.97107843,5.666666667
30,In de winter maken kinderen engelen in,tijdens het buiten spelen.,de sneeuw,52,52,100,1,de,sneeuw,3.0269,4.615384615,4.488769231,5.730769231
31,Toen we terugkwamen van vakantie lag er een hoop post in,thuis.,de brievenbus,36,51,70.58823529,1,de,brievenbus,2.2718,4.019607843,5.451568627,5.294117647
32,Het was nogal donker in de kamer dus ik drukte op het knopje om,aan te doen.,het licht,47,52,90.38461538,1,het,licht,3.6564,4.75,19.45875,5.903846154
33,Om acht uur 's avonds zitten mijn ouders altijd voor de televisie. Ze kijken dan naar,zodat ze op de hoogte blijven van wat er speelt.,het journaal,45,52,86.53846154,1,het,journaal,2.1139,4.557692308,6.849557692,5.769230769
34,Vanavond gaan we vroeg naar bed want morgenochtend gaat om zes uur,en dat is vroeg.,de wekker,51,52,98.07692308,1,de,wekker,2.1903,4.442307692,11.97386538,5.807692308
35,"Ik weet niet uit mijn hoofd wat de gegevens waren, maar je kunt het document opzoeken op",als je dat wilt.,het internet,25,47,53.19148936,0,het,internet,2.8768,3.468085106,16.06265957,4.744680851
36,"De melk was op, dus dat heb ik nog even snel gehaald in",vlak voor sluitingstijd.,de supermarkt,38,52,73.07692308,1,de,supermarkt,2.5809,4.403846154,5.889307692,5.769230769
37,Na de moord was de onderzoeker al snel op de plaats delict om de verwondingen op,te bestuderen.,het lichaam,21,48,43.75,0,het,lichaam,3.8098,5.291666667,7.4303125,5.3125
38,Na afloop van de voorstelling maakte de toneelgroep een buiging onder luid applaus van,in de zaal.,het publiek,45,48,93.75,1,het,publiek,3.2629,5.604166667,4.561020833,5.479166667
39,De nieuwe film van die acteur draait nu in,in de stad.,de bioscoop,43,49,87.75510204,1,de,bioscoop,2.6702,5.734693878,3.024326531,5.836734694
40,In de zomer zetten wij altijd een groot opblaaszwembad in,om af te koelen.,de tuin,48,49,97.95918367,1,de,tuin,3.2052,5.87755102,3.884102041,5.918367347
41,In het zwembad wordt er altijd goed opgelet door,om zo ongelukken te voorkomen.,de badmeester,41,49,83.67346939,1,de,badmeester,1.5051,5.530612245,63.02265306,5.510204082
42,"Toen Martijn ontdekte dat zijn portemonnee was gestolen, belde hij snel",om aangifte te doen.,de politie,49,49,100,1,de,politie,4.1801,5.775510204,3.379836735,5.857142857
43,De laatste gewonnen wedstrijd was voor het voetbalteam de kers op,na een mooi seizoen.,de taart,47,49,95.91836735,1,de,taart,3.1374,5.775510204,14.87538776,5.714285714
44,De juwelier bergt de sieraden 's avonds veilig op in,achter de kassa.,de kluis,45,49,91.83673469,1,de,kluis,3.1892,5.734693878,5.271816327,5.653061224
