"sentID","SentenceContext","sentenceClosure","compLower","popularity","nComp","percent","above70","comp.det","comp.noun","Lg10WF","natNess","RT","Diff"
143,"Auto's and vliegtuigen zijn slecht voor het mileu, dus sommige mensen gaan liever via de Eurotunnel met","naar Engeland.","de trein",32,40,80,1,"de","trein",3.5051,4.1025641025641,11.0413,5.675
144,"Er staan lange files voor Zandvoort aan Zee, omdat iedereen lekker wil uitwaaien op","vandaag.","het strand",37,40,92.5,1,"het","strand",3.2448,4.4,8.278925,5.875
145,"Neem de trap als er brand uitbreekt, want","is buiten gebruik.","de lift",37,40,92.5,1,"de","lift",3.457,4.275,6.779775,5.7
146,"Je hebt de bus net gemist, dus ik breng je wel even met","naar het station.","de auto",32,40,80,1,"de","auto",4.3017,4.775,5.2401,5.85
147,"Als je fiets gestolen is, moet je officieel aangifte doen bij","om geld terug te krijgen van de verzekering","de politie",37,40,92.5,1,"de","politie",4.1801,4.625,5.95275,5.9
148,"Geld sparen in een oude sok is niet meer van deze tijd, je kunt het beter op","zetten.","de bank",28,40,70,1,"de","bank",3.6042,4.51282051282051,6.9764,5.625
149,"In de Randstad weten veel kinderen minder over de natuur dan mensen die opgroeien in boerderijen op","in het oosten.","het platteland",32,40,80,1,"het","platteland",2.617,3.775,11.7189,5.025
150,"Je moet een pak verse melk altijd terugzetten in","om te voorkomen dat het bederft.","de koelkast",37,40,92.5,1,"de","koelkast",2.8116,4.7,5.4791,6
151,"Ik heb de borden al op tafel gelegd, kun jij uit de bovenste la","pakken en erbij leggen?","het bestek",35,40,87.5,1,"het","bestek",1.9542,4.125,16.5344,5.7
152,"Mijn hond was ziek dus ik moest ermee naar","vanmorgen.","de dierenarts",34,40,85,1,"de","dierenarts",2.415,4.45,4.263975,5.825
153,"In Mexico zijn drie criminelen ontsnapt uit","gisteren.","de gevangenis",37,40,92.5,1,"de","gevangenis",3.6616,3.6,7.69505,5.85
154,"Als iedereen na de crisis weer meer geld gaat investeren zal het snel beter gaan met","van het land.","de economie",37,40,92.5,1,"de","economie",2.5658,4.475,7.952725,5.625
155,"Volgens de Sinterklaastraditie in Nederland komt Zwarte Piet vanaf het dak door","het huis binnen om cadeautjes te brengen.","de schoorsteen",37,40,92.5,1,"de","schoorsteen",2.2788,4.55,9.010025,5.825
156,"De overvallers stormden de winkel binnen en gingen direct naar de kassa's om","te stelen.","het geld",30,40,75,1,"het","geld",4.5404,4.125,7.962775,5.5
157,"Ik heb 2 vrijkaartjes voor de bioscoop; het je zin om mee te gaan naar","volgende week?","de film",30,40,75,1,"de","film",3.8821,4.25,6.958725,5.5
158,"Dit is de hit die je het meest hoort op","tegenwoordig.","de radio",38,40,95,1,"de","radio",3.4096,4.35,5.123925,5.8
159,"Ik heb geen tuin, want ik woon in een flat, maar ik kan in de zomer wel altijd lekker op","zitten.","het balkon",32,40,80,1,"het","balkon",2.4639,4.6,8.54875,5.8
160,"De koude lucht uit BelgiÌÇ zal zich vanuit het zuiden gaan verspreiden in de rest van","morgen.","het land",33,40,82.5,1,"het","land",4.0282,3.375,12.26315,5.1
161,"Op zondag leest mijn vader altijd uitgebreid","bij het ontbijt.","de krant",35,40,87.5,1,"de","krant",3.4059,4.75,4.311825,5.85
