sentID,SentenceContext,sentenceClosure
1,Voor veel Nederlanders is een koekje bij,heilig.
2,Jasper wilde gelijk piloot worden na het lezen van,over vliegtuigen.
3,Om de brownie te maken smelt Max als eerste,voor hij de eieren toevoegt.
4,Veel Nederlanders gaan bij mooi weer naar hun werk op,maar pakken de auto als het regent.
5,De piraat gebruikte een geheime kaart bij zijn zoektocht naar,op het eiland.
6,In de zomer neem ik om af te koelen graag een duik bij de buren in,in hun achtertuin.
7,"De fluitketel op het fornuis floot, dus rende mijn moeder snel naar de keuken om het hete water voor",in te schenken.
8,Vergeet bij het bereiden van de kip niet het voorverwarmen van,zodat je niet hoeft te wachten.
9,Met Kerst kijk ik vaak naar de kerstboom met daaronder,in mooie verpakkingen.
10,Andr_ is de nieuwe coach van,op zijn volleybalclub.
11,"Voor haar verjaardag stuurde ik haar een echte papieren kaart, die ik verzond met",naar haar huis.
12,"Omdat het regende, ging Hans toch maar met","naar zijn werk, want hij wilde niet nat worden."
13,"Ik voelde me al een paar dagen niet zo lekker, dus mijn moeder stuurde me naar",voor de zekerheid.
14,Op dates is David een echte heer en schuift hij netjes,en het zag er heerlijk uit.
15,In de supermarkt vindt u de eieren aan het einde van,aan de rechterkant.
16,Henk begint zijn dag altijd met het lezen van,terwijl hij zijn ontbijt eet.
17,Op dates is David een echte heer en schuift hij netjes,van zijn date aan.
18,De meiden besloten om vandaag te gaan winkelen in,waar zij eens per maand kwamen.
19,"Het was een beetje frisjes in de huiskamer, dus Annie sloot",snel.
20,"In de keuken staan nog allemaal vieze borden, maar ik doe",morgen wel.
21,Tijdens het autorijden moet je je wel goed concentreren op,voor de veiligheid.
22,De wiskundedocent schreef de moeilijke sommen op,voor zijn leerlingen.
23,"Nadat de docent de vraag had gesteld, wachtte hij op",van de studenten.
24,Met zulk mooi weer gaan we altijd met een parasol naar,bij ons in de buurt.
25,Op zondagochtend zoek ik altijd met mijn hond een grote tak in,om er daarna mee te spelen.
26,Tijdens het kamp waren de jongens hout aan het verzamelen voor,in het bos.
27,Op de basisschool speelde ik in de pauze altijd buiten op,met mijn klasgenoten.
28,Al om half acht 's ochtends stond mijn moeder voor de hele familie eieren te bakken voor,op zondag.
29,Mijn gelezen boeken staan op de onderste plank in,op mijn kamer.
30,In de winter maken kinderen engelen in,tijdens het buiten spelen.
31,Toen we terugkwamen van vakantie lag er een hoop post in,thuis.
32,Het was nogal donker in de kamer dus ik drukte op het knopje om,aan te doen.
33,Om acht uur 's avonds zitten mijn ouders altijd voor de televisie. Ze kijken dan naar,zodat ze op de hoogte blijven van wat er speelt.
34,Vanavond gaan we vroeg naar bed want morgenochtend gaat om zes uur,en dat is vroeg.
35,"Ik weet niet uit mijn hoofd wat de gegevens waren, maar je kunt het document opzoeken op",als je dat wilt.
36,"De melk was op, dus dat heb ik nog even snel gehaald in",vlak voor sluitingstijd.
37,Na de moord was de onderzoeker al snel op de plaats delict om de verwondingen op,te bestuderen.
38,Na afloop van de voorstelling maakte de toneelgroep een buiging onder luid applaus van,in de zaal.
39,De nieuwe film van die acteur draait nu in,in de stad.
40,In de zomer zetten wij altijd een groot opblaaszwembad in,om af te koelen.
41,In het zwembad wordt er altijd goed opgelet door,om zo ongelukken te voorkomen.
42,"Toen Martijn ontdekte dat zijn portemonnee was gestolen, belde hij snel",om aangifte te doen.
43,De laatste gewonnen wedstrijd was voor het voetbalteam de kers op,na een mooi seizoen.
44,De juwelier bergt de sieraden 's avonds veilig op in,achter de kassa.
45,"Haar batterij was bijna leeg, dus ze stopte de oplader van haar telefoon in",om deze op te laden.
46,"Arnold wilde niet dat mensen door het raam naar binnen konden kijken, dus deed hij",dicht.
47,Alle net uitgebrachte boeken zijn vaak al binnen twee weken te leen bij,in de stad.
48,"Als je trek hebt, kun je een koekje uit",pakken.
49,De studenten probeerden met kaas en muizenvallen,te vangen.
50,En ze leefden nog lang en gelukkig' was het einde van,over de prinses en de draak.
51,"Als ik op vakantie naar een ver land ga, reis ik altijd met",vanaf Schiphol.
52,"Om de kluis te vinden, keek de inbreker als eerste achter",in de woonkamer.
53,In de oldtimer met blikjes eraan zat,onderweg naar hun huwelijksfeest.
54,Adriaan haalde zijn nieuwe medicijnen op bij,met een herhaalrecept.
55,"Kelly kon haar vriend niet verstaan door de telefoon, zo slecht was",in de supermarkt.
56,"Om het echt Italiaans te laten smaken, gooi ik pesto in",samen met verschillende groenten.
57,"Toen Vincent thuis kwam, hing hij zijn jas aan",in de gang.
58,De poster van mijn lievelingsband hang ik op een mooie plek in mijn kamer aan,", met dubbelzijdig plakband."
59,"Door de opkomst van de computer, kun je tegenwoordig binnen een paar seconden bijna alle informatie vinden op",zonder al teveel moeite.
60,"Ze waren goed bediend, dus het stel liet een flinke fooi achter voor",op de tafel bij de rekening.
61,In het restaurant schonk de ober de wijn in,om te proeven.
62,"Om de betekenis van dat woord te achterhalen, zocht ze het op in",uit haar moeders boekenkast.
63,Verkeersborden zijn heel belangrijk in,voor ieders veiligheid.
64,De secretaresse van de directeur schreef de notulen tijdens,snel op.
65,"Ronald heeft niet veel geluk in de liefde, maar in",is hij wel gelukkig.
66,Veel mensen gaan wekelijks gokken in,maar ze verliezen bijna altijd.
67,Tijdens de korte pauze was Aafke nog op het schoolplein toen,al ging.
68,Na het dagje uit besloten de dames nog een drankje te doen in,op de hoek van de straat.
69,Michael heeft net nieuwe boxen voor zijn televisie gekocht waardoor,nu nog beter klinkt.
70,Andrea en Evelien gingen samen fitnessen in,bij hen in de buurt.
71,"De baby was eindelijk in slaap gevallen, dus Kristiaan legde haar in",in haar slaapkamer.
72,Ik ben erg ge´nteresseerd in de sterren en planeten en kijk 's avonds vaak naar de sterren door,op onze zolderkamer.
73,Maarten zit veel achter zijn computer en staart vaak uren naar,op zijn bureau.
74,Voor ze de deur uitgaat maakt Nikki zichzelf altijd op voor,in haar kamer.
75,December is mijn favoriete maand van,vanwege de sneeuw en de gezelligheid.
76,"Toen de hongerige klanten hun plek in het restaurant gekozen hadden, vroegen zij snel naar",met alle heerlijke gerechten.
77,Alle ingrediïnten voor het gerecht had Lisanne in de keuken op,gelegd.
78,"We zagen heel lang geen oplossing, maar we lijken nu eindelijk licht aan het einde van",te gaan zien.
79,"Roodkapje liep door het bos naar het huis van haar oma, maar achter de bomen wachtte",op haar.
80,"Toen hij hoorde dat hij zijn examen gehaald had, sprong hij een gat in",van blijdschap.
81,"Toen we een paar weken weggingen gaven we de sleutel aan de buurvrouw, zodat zij op",kon passen.
82,We stonden op het punt om naar het vliegveld te vertrekken. Mijn moeder deed onze koffers in,en sloot de deur.
83,"Karel heeft honderd euro aan Frank geleend, dus staat Frank nu bij Karel in",en werkt hij hard om het terug te verdienen.
84,"De vergadering ging grotendeels zoals verwacht, alleen het nieuws van Jan kwam nogal onverwachts uit",en dus schrokken wij.
85,E_n van de meest typische lastdieren in de woestijn is natuurlijk,met zijn bulten.
86,Door de storm en het onweer viel in huis,uit.
87,"Nadat ik naar het buitenland vertrok, heb ik nooit meer iets van haar gehoord. Het is bij haar altijd uit het oog uit",en dat vind ik wel heel jammer.
88,Het is niet eerlijk om tijdens een ruzie oude koeien uit,te halen.
89,"Sommige mensen hebben altijd pech, die vissen altijd achter",en dat is best sneu.
90,"Het was snikheet in de auto toen zij in de file stonden, dus zette Fiona",aan.
91,Hij had niets bij zich om zijn sigaret mee aan te steken en daarom vroeg hij,aan zijn vriend.
92,De huur van je kamer wordt altijd afgeschreven aan het begin van,waarin je huurt.
93,Na het optreden werd de popster met de limousine teruggebracht naar,waar zij sliep.
94,"Nadat de politie dagenlang de verdachte had verhoord, kwam eindelijk de aap uit",", wat het een stuk gemakkelijker maakte om de medeplichtige te vinden."
95,Omdat Peter net de loterij heeft gewonnen smijt hij zijn geld nu over,", omdat het kan."
96,"De deurwaarder stond voor de deur, omdat Marc na twee waarschuwingen nog steeds",niet had betaald.
97,"Zijn schoolcijfers zijn ontzettend slecht, hij gooit er echt met",naar.
98,In het dorp luidt elke zondagochtend de klok van,erg hard.
99,Met de protestactie probeert de padvindersclub de aandacht van de gemeente te trekken voor de bescherming van,rondom het dorp.
100,"Op de radio is eerder gemeld dat de wegen glad zouden worden, maar deze waarschuwing sloeg Jan in",toen hij de weg opging.
101,De grote spin in het raam joeg haar de stuipen op,toen ze hem ontdekte.
102,"Iedereen had ontzettend veel zin in de picknick, maar het weer gooide helaas roet in",voor die dag.
103,Om de prinses te redden uit de toren moest de ridder het eerst opnemen tegen,maar dat had hij ervoor over.
104,De wandeltocht zou beginnen aan de voet van,om 8 uur 's ochtends.
105,De gevangenen bleken ontsnapt te zijn door het doorzagen van,met een nagelvijl.
106,"De schoonmaakster onderhoudt het hele huis behalve de tuin, dat is de taak van",en zijn snoeischaar.
107,Die stunt van Jan ging maar net goed. Hij kroop door het oog van,maar gelukkig mankeert hij niks.
108,"Toen het water voor de pasta begon te koken, haalde ik snel de deksel van",zodat het niet over zou koken.
109,Het eerste wat Isabella bekeek in haar nieuwe appartement was het prachtige uitzicht vanaf,vanwaar ze kon uitkijken over de hele stad.
110,Bij de opening van de nieuwe brug was de koningin uitgenodigd voor het doorknippen van,en een toespraak.
111,Na de salarisonderhandelingen tekende de werknemer,met zijn nieuwe werkgever.
112,Na de schietpartij gebruikte de detective een vergrootglas om sporen van vingerafdrukken op,te vinden.
113,Tijdens zijn wandeling langs het spoor schrok Jan zich een hoedje door het plotselinge getoeter van,omdat hij helemaal in zijn gedachten verzonken was.
114,Voor zijn verjaardag had Hendrik een bioscoopbon gekregen. Een week later ging hij daarmee naar,met zijn vrienden.
115,Doordat het caf_ niet over genoeg parasols beschikte was er helaas maar weinig schaduw op,waar we wilden zitten.
116,"De stroom leek plotseling uitgevallen, dus checkte Karel even de stoppen in",op de gang.
117,Voor de pauze sprak ik met mijn collega's af te gaan lunchen in,op het werk.
118,De student studeerde de hele nacht voor,van de volgende morgen.
119,"Marie hield erg van de muziek van Coldplay, dus voor haar verjaardag nam haar vriend haar mee naar",in het stadion.
120,Marc had veel te weinig tijd om het hele boek te lezen voor zijn literatuurtentamen en las daarom alleen,"op internet, waarin de belangrijkste informatie opgesomd stond."
121,Agnes was op vakantie erg bruin geworden van,en zag er uitgerust uit.
122,"Als je altijd te laat thuis bent voor het eten, vind je vaak de hond in",en dan heb je pech.
123,Ik vind het erg zielig dat leeuwen in zulke kleine kooien leven in,terwijl het wilde dieren zijn.
124,Om die ene lekkere biefstuk te eten spraken Jim en Roos af bij,waar zij graag kwamen.
125,"Sam lijkt erg op zijn vader, een typisch geval van de appel valt niet ver van",als je het mij vraagt.
126,Wij wilden op zijn verjaardag proosten. We ontpopten daarom met veel geluid,en zetten de hapjes op tafel.
127,Tarzan en George slingeren als apen aan lianen door,alsof het niets is.
128,Alle belangrijke informatie van de Belastingsdienst stond in,over de nieuwe regelingen.
129,Sophie dekte de tafel. Ze begon met de borden en de glazen en daarna legde zij keurig,in de juiste volgorde op tafel.
130,Frans en Stijn bezoeken alle wedstrijden van hun favoriete voetbalclub en vertrekken altijd op tijd naar,om een goede plek te bemachtigen.
131,Tijdens de treinrit werd ons kaartje gecontroleerd door,met de grote snor.
132,Er zijn wel bijna tweehonderd verschillende landen op,waar ik maar slechts een klein deel van heb gezien.
133,De doktersassistente vroeg mij plaats te nemen in,voordat de dokter mij zou komen halen.
134,Bart en Sara liepen in het park met hun baby in,naar de vijver.
135,Elk jaar op Prinsjesdag rijdt de koning door Den Haag in,en zwaait hij door het raam naar de mensen langs de kant.
136,De trein kwam tien minuten later dan verwacht aan op,van Den Haag.
137,"Toen mijn ouders een weekendje weg waren, vroeg mijn vader aan de buurvrouw of zij een oogje in",wilde houden.
138,"De kleding die Karin online besteld had, werd de volgende dag bezorgd door",op de fiets.
139,"Met Sinterklaas doen wij altijd surprises, waarbij je begint met het voorlezen van",en daarna de surprise openmaakt.
140,De bejaarden bekeken veel schilderijen van Rembrandt die tentoongesteld werden in,in het centrum van de stad.
141,Bij thuiskomst stak Dirk de sleutel in,om naar binnen te gaan.
142,"Meester Jansen werkt al dertig jaar op dezelfde school, hij is echt een oude rot in",en dat merk je wel aan zijn omgang met zijn collega's.
