subj_id,Completion,sentID,NatNess,Diff,RT,hasComment?,index,AdditCom,translation,isImportant,sentenceRisk,askForCheck,Unnamed: 13,determiner,noun,isDet,isWord
R_BKctGx9a1Hi7w4h,de thee,1,4,6,0.831,0,,,,,,,,de,thee,True,True
R_u2ffULg0uVmoetj,de koffie,1,5,5,1.7480000000000002,0,,,,,,,,de,koffie,True,True
R_2vf9l3GOwanVBOH,de thee,1,5,5,0.579,0,,,,,,,,de,thee,True,True
R_OqjAwL4brYESqul,de thee,1,5,6,2.6210000000000004,0,,,,,,,,de,thee,True,True
R_1LG8FwYsk4Xgq61,de koffie,1,5,6,2.426,0,,,,,,,,de,koffie,True,True
R_2wQZuV97sKRkDfp,de koffie,1,5,6,1.304,0,,,,,,,,de,koffie,True,True
R_2dsf9d9zlzEbaRw,de thee,1,5,6,2.667,0,,,,,,,,de,thee,True,True
R_3j0ZzVXSe6NB0v0,de koffie,1,5,6,7.497000000000001,0,,,,,,,,de,koffie,True,True
R_2SqwKT4bUhZVaYX,de koffie,1,5,6,5.273,0,,,,,,,,de,koffie,True,True
R_6yuZ6GaDGqciNE1,de thee,1,4,5,4.824,0,,,,,,,,de,thee,True,True
R_22DGKB9Dz59SJIt,de koffie,1,5,6,3.016,0,,,,,,,,de,koffie,True,True
R_5iDE07CUBSNZdqF,de koffie,1,5,6,4.113,0,,,,,,,,de,koffie,True,True
R_2w61flKU0TAtmrX,de thee,1,5,6,13.085999999999999,0,,,,,,,,de,thee,True,True
R_2Y4gtCNHITcznSw,de koffie,1,5,6,2.074,0,,,,,,,,de,koffie,True,True
R_2qDHMLvHLCvMWMS,de thee,1,4,6,23.905,1,1.0,ik lust geen koffie,,0.0,,,,de,thee,True,True
R_bg7cQUV93CWU245,de koffie,1,5,6,18.955,0,,,,,,,,de,koffie,True,True
R_2OTJk9jZohSfhSm,de thee,1,4,6,1.87,1,2.0,andere optie was: de koffie,other option was: the coffee,1.0,1.0,,,de,thee,True,True
R_pGZjTA8wFerMwcV,de thee,1,5,6,4.2139999999999995,1,3.0,Thee > koffie.,tea > coffrr,1.0,1.0,,,de,thee,True,True
