"sentID","SentenceContext","sentenceClosure","compLower","popularity","nComp","percent","above70","comp.det","comp.noun","Lg10WF"
1,"Voor veel Nederlanders is een koekje bij","heilig.","de koffie",28,52,53.8461538461538,0,"de","koffie",3.7657
2,"Jasper wilde gelijk piloot worden na het lezen van","over vliegtuigen.","een boek",20,51,39.2156862745098,0,"een","boek",3.8196
3,"Om de brownie te maken smelt Max als eerste","voor hij de eieren toevoegt.","de chocolade",21,52,40.3846153846154,0,"de","chocolade",2.786
4,"Veel Nederlanders gaan bij mooi weer naar hun werk op","maar pakken de auto als het regent.","de fiets",48,50,96,1,"de","fiets",2.9786
5,"De piraat gebruikte een geheime kaart bij zijn zoektocht naar","op het eiland.","de schat",50,52,96.1538461538462,1,"de","schat",4.0625
6,"In de zomer neem ik om af te koelen graag een duik bij de buren in","in hun achtertuin.","het zwembad",52,52,100,1,"het","zwembad",3.006
7,"De fluitketel op het fornuis floot, dus rende mijn moeder snel naar de keuken om het hete water voor","in te schenken.","de thee",48,50,96,1,"de","thee",3.4103
8,"Vergeet bij het bereiden van de kip niet het voorverwarmen van","zodat je niet hoeft te wachten.","de oven",50,52,96.1538461538462,1,"de","oven",2.6375
9,"Met Kerst kijk ik vaak naar de kerstboom met daaronder","in mooie verpakkingen.","de cadeautjes",37,52,71.1538461538462,1,"de","cadeautjes",2.5132
10,"Andr_ is de nieuwe coach van","op zijn volleybalclub.","het team",39,52,75,1,"het","team",3.6989
11,"Voor haar verjaardag stuurde ik haar een echte papieren kaart, die ik verzond met","naar haar huis.","de post",43,52,82.6923076923077,1,"de","post",3.2092
12,"Omdat het regende, ging Hans toch maar met","naar zijn werk, want hij wilde niet nat worden.","de auto",41,52,78.8461538461538,1,"de","auto",4.3017
13,"Ik voelde me al een paar dagen niet zo lekker, dus mijn moeder stuurde me naar","voor de zekerheid.","de dokter",39,52,75,1,"de","dokter",4.0283
15,"In de supermarkt vindt u de eieren aan het einde van","aan de rechterkant.","het gangpad",25,52,48.0769230769231,0,"het","gangpad",1.9395
16,"Henk begint zijn dag altijd met het lezen van","terwijl hij zijn ontbijt eet.","de krant",47,52,90.3846153846154,1,"de","krant",3.4059
17,"Op dates is David een echte heer en schuift hij netjes","van zijn date aan.","de stoel",52,52,100,1,"de","stoel",3.3502
18,"De meiden besloten om vandaag te gaan winkelen in","waar zij eens per maand kwamen.","de stad",27,52,51.9230769230769,0,"de","stad",4.0763
19,"Het was een beetje frisjes in de huiskamer, dus Annie sloot","snel.","het raam",33,52,63.4615384615385,0,"het","raam",3.4912
20,"In de keuken staan nog allemaal vieze borden, maar ik doe","morgen wel.","de afwas",49,52,94.2307692307692,1,"de","afwas",2.2253
21,"Tijdens het autorijden moet je je wel goed concentreren op","voor de veiligheid.","de weg",39,52,75,1,"de","weg",4.8115
22,"De wiskundedocent schreef de moeilijke sommen op","voor zijn leerlingen.","het bord",49,52,94.2307692307692,1,"het","bord",3.0774
23,"Nadat de docent de vraag had gesteld, wachtte hij op","van de studenten.","het antwoord",40,52,76.9230769230769,1,"het","antwoord",3.7873
24,"Met zulk mooi weer gaan we altijd met een parasol naar","bij ons in de buurt.","het strand",37,51,72.5490196078431,1,"het","strand",3.2448
25,"Op zondagochtend zoek ik altijd met mijn hond een grote tak in","om er daarna mee te spelen.","het bos",45,52,86.5384615384615,1,"het","bos",3.3086
26,"Tijdens het kamp waren de jongens hout aan het verzamelen voor","in het bos.","het kampvuur",38,52,73.0769230769231,1,"het","kampvuur",2.0569
27,"Op de basisschool speelde ik in de pauze altijd buiten op","met mijn klasgenoten.","het schoolplein",39,52,75,1,"het","schoolplein",1.5911
28,"Al om half acht 's ochtends stond mijn moeder voor de hele familie eieren te bakken voor","op zondag.","het ontbijt",48,51,94.1176470588235,1,"het","ontbijt",3.2925
29,"Mijn gelezen boeken staan op de onderste plank in","op mijn kamer.","de kast",45,51,88.2352941176471,1,"de","kast",3.1189
30,"In de winter maken kinderen engelen in","tijdens het buiten spelen.","de sneeuw",52,52,100,1,"de","sneeuw",3.0269
31,"Toen we terugkwamen van vakantie lag er een hoop post in","thuis.","de brievenbus",36,51,70.5882352941177,1,"de","brievenbus",2.2718
32,"Het was nogal donker in de kamer dus ik drukte op het knopje om","aan te doen.","het licht",47,52,90.3846153846154,1,"het","licht",3.6564
